epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0088,0.53425,2.36583,1.06597,0.00262,1,0.61202,0.53762,0.31947,3.46336,0.6699,0.00031673,0.00031673,0.00031673
2,180.093,0.51733,1.72063,1.04871,0.53447,0.71994,0.62569,0.56812,0.45012,2.95377,0.79283,0.000643694,0.000643694,0.000643694
3,265.309,0.55822,1.64332,1.01706,0.44474,0.52431,0.46071,0.29234,0.84823,3.47593,1.42866,0.000964056,0.000964056,0.000964056
4,366.477,0.62015,1.50125,1.07517,0.08641,0.625,0.17158,0.09696,0.8886,16.6863,1.61626,0.00127782,0.00127782,0.00127782
5,466.085,0.57185,1.44607,1.07112,0.31773,0.46875,0.31683,0.24908,0.72397,3.63102,1.13953,0.00158498,0.00158498,0.00158498
6,554.418,0.60805,1.3552,1.05978,0.38708,0.40451,0.23997,0.13393,0.85417,4.89026,1.22574,0.00158448,0.00158448,0.00158448
7,642.708,0.55536,1.30489,1.03872,0.8374,0.47736,0.63736,0.53929,0.56198,3.05675,1.13289,0.00156798,0.00156798,0.00156798
8,732.698,0.55556,1.16924,1.03648,0.45123,0.63021,0.57896,0.43887,0.71445,2.26978,1.11289,0.00155148,0.00155148,0.00155148
9,818.996,0.55757,1.23752,1.03072,0.36223,0.89062,0.79739,0.67314,0.53098,5.25476,0.93354,0.00153497,0.00153497,0.00153497
10,904.708,0.48927,1.02635,0.99664,0.58382,0.79688,0.80662,0.69283,0.52329,2.00732,0.83061,0.00151847,0.00151847,0.00151847
11,988.114,0.53323,1.00602,1.01619,0.84577,0.90131,0.94405,0.88183,0.34231,1.23687,0.70916,0.00150197,0.00150197,0.00150197
12,1072.01,0.50626,0.92066,0.99949,0.84385,0.62847,0.82008,0.69781,0.4695,1.6978,0.78018,0.00148546,0.00148546,0.00148546
13,1160.23,0.49148,0.99415,1.00182,0.6067,0.84549,0.78038,0.69162,0.46424,1.36444,0.79689,0.00146896,0.00146896,0.00146896
14,1246.35,0.51695,0.99999,1.03778,0.6774,0.78646,0.71997,0.62122,0.51607,1.59014,0.77427,0.00145246,0.00145246,0.00145246
15,1330.75,0.52792,0.99618,1.01659,0.79441,0.88368,0.85772,0.76186,0.48835,1.32486,0.79326,0.00143595,0.00143595,0.00143595
16,1414.16,0.53124,0.9645,1.01433,0.67133,0.78144,0.70941,0.55191,0.56143,1.75915,0.81332,0.00141945,0.00141945,0.00141945
17,1497.09,0.46332,0.86421,0.97112,0.80467,0.87045,0.82547,0.75359,0.43454,1.4219,0.74178,0.00140295,0.00140295,0.00140295
18,1580.27,0.48535,0.9182,1.00462,0.52813,0.7064,0.52795,0.4705,0.44605,2.17721,0.75786,0.00138644,0.00138644,0.00138644
19,1665.1,0.50059,0.96299,1.00778,0.7433,0.79167,0.82924,0.72107,0.43383,1.19026,0.78184,0.00136994,0.00136994,0.00136994
20,1749.37,0.50434,0.91664,1.00202,0.67383,0.91055,0.82291,0.71306,0.46992,1.09613,0.81118,0.00135344,0.00135344,0.00135344
21,1835.92,0.50636,0.8922,1.00646,0.81683,0.91764,0.9419,0.83088,0.45252,1.00539,0.77839,0.00133693,0.00133693,0.00133693
22,1920.07,0.50644,0.79001,1.01531,0.60716,0.92882,0.75619,0.71827,0.3436,1.27592,0.6764,0.00132043,0.00132043,0.00132043
23,2003.14,0.48908,0.84328,0.98465,0.73775,0.8316,0.85079,0.74996,0.42752,1.06368,0.74861,0.00130393,0.00130393,0.00130393
24,2086.75,0.46515,0.8462,0.98051,0.79781,0.94444,0.893,0.86046,0.32357,1.01733,0.63919,0.00128742,0.00128742,0.00128742
25,2170.28,0.45928,0.79492,0.96582,0.79372,0.93924,0.9128,0.87526,0.33004,1.15554,0.64715,0.00127092,0.00127092,0.00127092
26,2254.05,0.50016,0.76768,1.01701,0.81946,0.97049,0.95493,0.93847,0.26464,0.81492,0.59701,0.00125442,0.00125442,0.00125442
27,2337.42,0.47823,0.74705,0.97109,0.86398,0.962,0.94915,0.90584,0.33886,0.82844,0.64923,0.00123791,0.00123791,0.00123791
28,2420.8,0.45537,0.73703,0.96684,0.73258,0.91667,0.86978,0.81785,0.3631,1.24306,0.67237,0.00122141,0.00122141,0.00122141
29,2504.77,0.48129,0.77796,0.99241,0.83291,0.90799,0.95202,0.87719,0.45735,0.87553,0.79676,0.00120491,0.00120491,0.00120491
30,2589.9,0.47747,0.72449,0.97106,0.77821,0.9024,0.86373,0.76641,0.43819,1.04384,0.75294,0.0011884,0.0011884,0.0011884
31,2673.38,0.44129,0.73895,0.95648,0.78675,0.72222,0.87206,0.81751,0.37607,0.96917,0.71236,0.0011719,0.0011719,0.0011719
32,2756.66,0.45911,0.73192,0.95488,0.88868,0.91678,0.9686,0.95418,0.25374,0.67811,0.5818,0.0011554,0.0011554,0.0011554
33,2841.12,0.44295,0.66675,0.9724,0.81407,0.78583,0.86579,0.78852,0.35485,0.90446,0.66505,0.00113889,0.00113889,0.00113889
34,2923.36,0.46435,0.71826,0.98349,0.84699,0.92188,0.94886,0.90604,0.27961,0.89991,0.57784,0.00112239,0.00112239,0.00112239
35,3005.89,0.43052,0.70325,0.96865,0.82218,0.97073,0.97132,0.92356,0.28786,0.69829,0.59647,0.00110589,0.00110589,0.00110589
36,3089.14,0.4436,0.63044,0.96018,0.80071,0.84722,0.83069,0.79648,0.31353,0.96977,0.63745,0.00108938,0.00108938,0.00108938
37,3171.95,0.41475,0.60245,0.94818,0.89748,0.9566,0.97694,0.92582,0.31801,0.69656,0.65613,0.00107288,0.00107288,0.00107288
38,3255.23,0.41396,0.60715,0.94921,0.87625,0.87682,0.87993,0.84331,0.30442,0.96317,0.64624,0.00105638,0.00105638,0.00105638
39,3338.46,0.40918,0.59844,0.95826,0.93047,0.97222,0.9747,0.94744,0.26741,0.6717,0.5985,0.00103987,0.00103987,0.00103987
40,3424.01,0.37878,0.59093,0.92958,0.90213,0.98611,0.95852,0.93724,0.21105,0.60759,0.537,0.00102337,0.00102337,0.00102337
41,3507.67,0.41448,0.58862,0.95636,0.84983,0.97049,0.95459,0.93284,0.24862,0.66405,0.57932,0.00100687,0.00100687,0.00100687
42,3592,0.39118,0.57794,0.95119,0.75715,0.87723,0.82046,0.75813,0.34593,1.02857,0.67748,0.000990365,0.000990365,0.000990365
43,3675.07,0.42284,0.65744,0.95751,0.75966,0.96427,0.96734,0.90542,0.32324,0.80319,0.64719,0.000973861,0.000973861,0.000973861
44,3758.2,0.38042,0.52925,0.93959,0.8345,0.98663,0.98726,0.95989,0.25616,0.55089,0.58782,0.000957358,0.000957358,0.000957358
45,3849.66,0.44321,0.6351,0.96393,0.9238,0.96033,0.98724,0.96328,0.25678,0.52172,0.57661,0.000940855,0.000940855,0.000940855
46,3946.09,0.41602,0.63364,0.94871,0.80053,0.91493,0.85936,0.84305,0.26838,0.81923,0.56566,0.000924352,0.000924352,0.000924352
47,4041.99,0.37341,0.59592,0.92755,0.93574,0.93645,0.98069,0.9665,0.22549,0.54104,0.53253,0.000907848,0.000907848,0.000907848
48,4135.41,0.38981,0.53853,0.93843,0.85273,0.88715,0.92569,0.91484,0.2343,0.67402,0.53697,0.000891345,0.000891345,0.000891345
49,4229.37,0.41425,0.5823,0.94609,0.7096,0.84549,0.78109,0.77119,0.22727,1.08177,0.53399,0.000874842,0.000874842,0.000874842
50,4323.6,0.38947,0.57065,0.94362,0.86142,0.99514,0.98586,0.95785,0.2234,0.55694,0.54602,0.000858338,0.000858338,0.000858338
51,4417.29,0.39777,0.57709,0.93306,0.89022,0.98775,0.98568,0.96646,0.24362,0.58215,0.54421,0.000841835,0.000841835,0.000841835
52,4510.68,0.37368,0.55437,0.94785,0.879,0.97049,0.9735,0.94854,0.25583,0.55939,0.56513,0.000825332,0.000825332,0.000825332
53,4604.34,0.38484,0.52897,0.93706,0.87194,0.95869,0.96049,0.93829,0.23609,0.61385,0.5467,0.000808828,0.000808828,0.000808828
54,4701.87,0.38979,0.53838,0.94308,0.84033,0.93143,0.93486,0.90163,0.24434,0.70903,0.5392,0.000792325,0.000792325,0.000792325
55,4796.13,0.38868,0.58641,0.94288,0.85589,0.91366,0.92782,0.84653,0.32042,0.66273,0.6241,0.000775822,0.000775822,0.000775822
56,4892.5,0.4361,0.60245,0.99401,0.83697,0.92708,0.93579,0.908,0.24071,0.57761,0.55416,0.000759318,0.000759318,0.000759318
57,4986.16,0.37899,0.50512,0.92526,0.89533,0.95084,0.98732,0.97175,0.20403,0.44365,0.51926,0.000742815,0.000742815,0.000742815
58,5079.12,0.38464,0.48867,0.96724,0.66376,0.91238,0.7666,0.7463,0.23912,0.91066,0.54609,0.000726312,0.000726312,0.000726312
59,5171.99,0.36731,0.52796,0.93139,0.89251,0.9148,0.95968,0.92737,0.26264,0.62968,0.57644,0.000709809,0.000709809,0.000709809
60,5267.84,0.39511,0.5257,0.94535,0.90058,0.96875,0.97519,0.9419,0.24599,0.54638,0.55457,0.000693305,0.000693305,0.000693305
61,5361.08,0.37983,0.51358,0.92188,0.88224,0.98611,0.97332,0.93624,0.2621,0.50239,0.58859,0.000676802,0.000676802,0.000676802
62,5457.51,0.39071,0.4875,0.93757,0.93239,1,0.98179,0.95042,0.25143,0.46464,0.57066,0.000660299,0.000660299,0.000660299
63,5550.27,0.34547,0.49676,0.92864,0.87815,0.97419,0.9631,0.93032,0.24988,0.55011,0.5505,0.000643795,0.000643795,0.000643795
64,5643.44,0.35962,0.48517,0.93808,0.78988,0.88889,0.84875,0.82142,0.27237,0.77881,0.5734,0.000627292,0.000627292,0.000627292
65,5738.31,0.35017,0.49609,0.9232,0.91042,0.9566,0.97587,0.96061,0.20576,0.47484,0.5214,0.000610789,0.000610789,0.000610789
66,5830.05,0.36894,0.50501,0.94601,0.89312,0.9522,0.97101,0.94477,0.22992,0.50363,0.56012,0.000594286,0.000594286,0.000594286
67,5920.82,0.37319,0.49571,0.92555,0.9062,0.9681,0.97064,0.95889,0.22581,0.5212,0.54679,0.000577782,0.000577782,0.000577782
68,6015.4,0.38136,0.50523,0.92862,0.88636,0.94271,0.97214,0.95315,0.2267,0.51811,0.54912,0.000561279,0.000561279,0.000561279
69,6109.42,0.3889,0.52945,0.93985,0.84959,0.87267,0.92407,0.9045,0.22666,0.63866,0.53429,0.000544776,0.000544776,0.000544776
70,6202.32,0.36606,0.5154,0.92932,0.87369,0.97222,0.95294,0.91522,0.23929,0.54154,0.54606,0.000528272,0.000528272,0.000528272
71,6295.34,0.35991,0.48882,0.91485,0.91105,0.95486,0.98195,0.9476,0.2337,0.51026,0.5342,0.000511769,0.000511769,0.000511769
72,6392.38,0.36569,0.54909,0.93073,0.81381,0.92361,0.9398,0.88791,0.24867,0.58696,0.55384,0.000495266,0.000495266,0.000495266
73,6484.96,0.35655,0.47251,0.91288,0.8476,0.98482,0.96756,0.94842,0.23662,0.4972,0.54612,0.000478762,0.000478762,0.000478762
74,6589.74,0.34958,0.43937,0.91789,0.9142,0.95077,0.97839,0.95332,0.20167,0.46499,0.527,0.000462259,0.000462259,0.000462259
75,6683.42,0.36061,0.46408,0.92188,0.88753,0.9807,0.97724,0.95577,0.22179,0.47776,0.52514,0.000445756,0.000445756,0.000445756
76,6774.41,0.33615,0.42782,0.90653,0.90473,0.93597,0.98012,0.95988,0.21592,0.46168,0.51945,0.000429253,0.000429253,0.000429253
77,6869.05,0.3447,0.49452,0.91291,0.92187,0.96875,0.98411,0.96305,0.21335,0.43647,0.51053,0.000412749,0.000412749,0.000412749
78,6966.64,0.40908,0.48502,0.97585,0.87756,0.99594,0.97564,0.95962,0.1985,0.47994,0.50591,0.000396246,0.000396246,0.000396246
79,7067.4,0.31267,0.43937,0.9226,0.91732,1,0.9912,0.98125,0.19831,0.44153,0.50362,0.000379743,0.000379743,0.000379743
80,7165.07,0.35295,0.43059,0.91792,0.9058,0.99855,0.98876,0.97101,0.19013,0.42331,0.50166,0.000363239,0.000363239,0.000363239
81,7262.23,0.34493,0.46672,0.92078,0.93416,0.98406,0.98497,0.96723,0.20054,0.42,0.50972,0.000346736,0.000346736,0.000346736
82,7348.27,0.32463,0.39112,0.91936,0.91059,0.99721,0.98362,0.97076,0.18482,0.39236,0.501,0.000330233,0.000330233,0.000330233
83,7434.43,0.31803,0.41972,0.90948,0.94646,0.99804,0.99047,0.98235,0.18792,0.38675,0.50129,0.000313729,0.000313729,0.000313729
84,7521.24,0.3198,0.42267,0.90556,0.88718,1,0.96035,0.95077,0.18633,0.48129,0.50032,0.000297226,0.000297226,0.000297226
85,7607.04,0.36393,0.452,0.92269,0.88889,0.97989,0.96154,0.94378,0.18987,0.47266,0.50322,0.000280723,0.000280723,0.000280723
86,7693.06,0.3473,0.42945,0.94673,0.92854,1,0.98921,0.97001,0.19559,0.39766,0.51717,0.00026422,0.00026422,0.00026422
87,7778.37,0.35815,0.41785,0.94117,0.89488,0.99096,0.97602,0.96598,0.20409,0.45882,0.52319,0.000247716,0.000247716,0.000247716
88,7865.53,0.31894,0.4116,0.90192,0.92737,0.98438,0.98413,0.97768,0.20068,0.45549,0.51947,0.000231213,0.000231213,0.000231213
89,7959.69,0.30902,0.38045,0.90954,0.91895,0.9566,0.98273,0.96626,0.19139,0.44704,0.509,0.00021471,0.00021471,0.00021471
90,8052.33,0.30192,0.3752,0.90167,0.91954,0.99516,0.98451,0.9726,0.19484,0.41423,0.50505,0.000198206,0.000198206,0.000198206
91,8146.33,0.30081,0.59861,0.98216,0.90711,0.98849,0.98637,0.97918,0.1864,0.47932,0.49883,0.000181703,0.000181703,0.000181703
92,8239.8,0.2788,0.61127,0.93616,0.90503,0.97675,0.97838,0.96977,0.1889,0.53652,0.50668,0.0001652,0.0001652,0.0001652
93,8332.82,0.25706,0.46429,0.92391,0.93856,0.98611,0.98662,0.97769,0.16976,0.4258,0.49732,0.000148696,0.000148696,0.000148696
94,8424.6,0.24127,0.52577,0.9222,0.93621,0.98479,0.98865,0.97512,0.1732,0.37916,0.49715,0.000132193,0.000132193,0.000132193
95,8512.42,0.21463,0.42252,0.89946,0.91886,0.97887,0.98647,0.9604,0.16559,0.3897,0.48944,0.00011569,0.00011569,0.00011569
96,8602.78,0.26218,0.55998,0.93855,0.93003,0.92708,0.98098,0.96086,0.16106,0.40817,0.48403,9.91865e-05,9.91865e-05,9.91865e-05
97,8687.3,0.22652,0.4187,0.91262,0.93781,0.94271,0.98321,0.96072,0.16118,0.39721,0.48632,8.26832e-05,8.26832e-05,8.26832e-05
98,8770.7,0.22435,0.42121,0.89744,0.9153,0.93608,0.98385,0.96454,0.16333,0.38393,0.48691,6.61799e-05,6.61799e-05,6.61799e-05
99,8856.18,0.25602,0.48847,0.92527,0.9136,0.97627,0.98241,0.95556,0.16436,0.38288,0.48889,4.96766e-05,4.96766e-05,4.96766e-05
100,8940.97,0.21399,0.38384,0.89401,0.92872,0.94271,0.97998,0.95939,0.16103,0.38403,0.48377,3.31733e-05,3.31733e-05,3.31733e-05
